Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Elbow/forearm,0-4,763,2100.0,503.7336086706177,0.23926133439135058,2100.0,True,passes conservative screen,4.6,0.7397710943756287,0.1621517646837886,8
Elbow/forearm,5-9,5377,15700.0,2859.7759289675146,0.18183462115612914,15700.0,True,passes conservative screen,8.5,0.6547316439136628,0.07685704724285497,8
Elbow/forearm,10-14,12733,40300.0,5948.662311455734,0.14757864864980286,40300.0,True,passes conservative screen,7.3,0.34285043486593264,0.04702578326628945,8
Elbow/forearm,15-17,4678,17800.0,2261.4626097059654,0.12721215744843653,17800.0,True,passes conservative screen,4.6,0.273344411786678,0.05988487153830083,8
Elbow/forearm,18-24,1940,9900.0,1224.555958133096,0.12345969427849975,9900.0,True,passes conservative screen,3.2,0.27705085351171566,0.0862452352256347,8
Elbow/forearm,25-34,1509,7700.0,1013.7496908887694,0.13226554214876418,7700.0,True,passes conservative screen,3.1,0.2893286669205309,0.09190224416038859,8
Elbow/forearm,35-44,977,5500.0,727.8107365954743,0.1327671270297012,5500.0,True,passes conservative screen,3.4,0.38210438564131777,0.11188229329578375,8
Elbow/forearm,45-54,711,3900.0,604.5403939070692,0.1552236840075644,3900.0,True,passes conservative screen,3.3,0.43167419053956585,0.12970013857259166,8
Elbow/forearm,55-64,607,3600.0,787.4236119027463,0.21713810872635766,3600.0,True,passes conservative screen,3.7,0.562842258887085,0.1509485300147744,8
Elbow/forearm,65-74,503,3500.0,1009.193761256261,0.288306013544406,3500.0,True,passes conservative screen,4.0,0.561801306557138,0.1391444154327368,8
Elbow/forearm,75+,325,2300.0,672.0269314927694,0.2984564867654511,2300.0,True,passes conservative screen,3.7,0.7744269291042548,0.21031054071842153,8
Wrist/hand,0-4,1127,3700.0,678.9599771984307,0.18228796954055096,3700.0,True,passes conservative screen,8.1,1.3834760157380561,0.17141080561852978,8
Wrist/hand,5-9,8500,30400.0,4869.050928365706,0.16038810849315432,30400.0,True,passes conservative screen,16.4,0.9845869493424371,0.059876680805810156,8
Wrist/hand,10-14,33490,127000.0,16231.184986489909,0.12785114074886914,127000.0,True,passes conservative screen,23.0,0.7096888251994575,0.030906474417094192,8
Wrist/hand,15-17,15008,61700.0,7056.847505442416,0.11437186061892136,61700.0,True,passes conservative screen,15.8,0.616315551488627,0.03890265988323005,8
Wrist/hand,18-24,8075,40500.0,3945.137650887921,0.09730165673993493,40500.0,True,passes conservative screen,13.1,0.5571160994926092,0.04242607350522734,8
Wrist/hand,25-34,5907,30500.0,2604.173643495007,0.08528464214222305,30500.0,True,passes conservative screen,12.5,0.5845423226921543,0.04660532299170436,8
Wrist/hand,35-44,3434,19400.0,1875.9860838156555,0.09673574487286708,19400.0,True,passes conservative screen,12.1,0.7027130884542409,0.05816244407990377,8
Wrist/hand,45-54,2402,13900.0,1628.8262738773283,0.11686155312802321,13900.0,True,passes conservative screen,11.9,0.8648589758442391,0.07260957248957076,8
Wrist/hand,55-64,2018,12500.0,1739.2970313864419,0.1388025544626688,12500.0,True,passes conservative screen,12.9,1.0267517980846206,0.07968998564331917,8
Wrist/hand,65-74,1439,9700.0,1733.6400568896374,0.17867906507706996,9700.0,True,passes conservative screen,11.2,1.579096608437688,0.14110010300124295,8
Wrist/hand,75+,665,4500.0,957.675179420942,0.21193042410091822,4500.0,True,passes conservative screen,7.4,1.1346317310486207,0.15353813088570736,8
Trunk/spine,0-4,382,1300.0,395.5700919583389,0.3130838846155432,1300.0,True,passes conservative screen,2.7,0.6737384809470703,0.2460828495736677,8
Trunk/spine,5-9,3013,10200.0,1844.5602192855517,0.18144721499200073,10200.0,True,passes conservative screen,5.5,0.4495367850074159,0.08163915445316407,8
Trunk/spine,10-14,11788,42100.0,6133.400983970832,0.1456873293653192,42100.0,True,passes conservative screen,7.6,0.3585291310320801,0.04708385267940139,8
Trunk/spine,15-17,9198,37400.0,4948.280225395937,0.13217160886980403,37400.0,True,passes conservative screen,9.6,0.42950524791419126,0.04468071159841659,8
Trunk/spine,18-24,7691,38800.0,4562.540749875787,0.11745638563168279,38800.0,True,passes conservative screen,12.6,0.6776066445203828,0.053861269987005175,8
