Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Combat sports,Upper limb,2018,847,30900.0,0.0965939473202574,True
Combat sports,Trunk/spine,2018,239,9000.0,0.12141672685616084,True
Combat sports,Lower limb,2018,519,19400.0,0.13697924347701954,True
Combat sports,Other/systemic,2018,17,,0.38007151650388254,False
Other ball sports,Head/neck,2018,590,18600.0,0.14141544859537042,True
Other ball sports,Upper limb,2018,748,26500.0,0.14130263253525677,True
Other ball sports,Trunk/spine,2018,162,6500.0,0.26804381201748495,True
Other ball sports,Lower limb,2018,553,20100.0,0.11424840752829786,True
Other ball sports,Other/systemic,2018,32,,0.344021855664593,False
Gymnastics/cheerleading,Head/neck,2018,504,15400.0,0.14782340942535083,True
Gymnastics/cheerleading,Upper limb,2018,729,20900.0,0.14862963040602736,True
Gymnastics/cheerleading,Trunk/spine,2018,190,5500.0,0.15877327646979875,True
Gymnastics/cheerleading,Lower limb,2018,703,22500.0,0.14851898763560908,True
Gymnastics/cheerleading,Other/systemic,2018,17,,0.47480533695001914,False
Volleyball,Head/neck,2018,269,8600.0,0.1380637347447088,True
Volleyball,Upper limb,2018,447,16900.0,0.11358570813737486,True
Volleyball,Trunk/spine,2018,129,4900.0,0.17135201596812083,True
Volleyball,Lower limb,2018,596,23600.0,0.1143194303855926,True
Volleyball,Other/systemic,2018,10,,0.554419794594706,False
Snow sports,Head/neck,2018,253,11000.0,0.3151883040417188,True
Snow sports,Upper limb,2018,422,19200.0,0.3257104590064374,True
Snow sports,Trunk/spine,2018,130,6300.0,0.30281007060705606,True
Snow sports,Lower limb,2018,307,,0.38678993858649946,False
Snow sports,Other/systemic,2018,2,,0.7945843294419719,False
Hockey,Head/neck,2018,544,16100.0,0.23835666036667214,True
Hockey,Upper limb,2018,436,12200.0,0.26131086608018844,True
Hockey,Trunk/spine,2018,113,3900.0,0.2719817452896206,True
Hockey,Lower limb,2018,211,7100.0,0.24608718404480795,True
Hockey,Other/systemic,2018,9,,0.39529497273454106,False
Fishing,Head/neck,2018,147,7400.0,0.17288654584424687,True
Fishing,Upper limb,2018,605,33800.0,0.16699519139587904,True
Fishing,Trunk/spine,2018,80,4200.0,0.19561242568723758,True
Fishing,Lower limb,2018,232,13300.0,0.23415501719782636,True
Fishing,Other/systemic,2018,30,,0.3361200988360842,False
Basketball,Head/neck,2019,2581,79600.0,0.08983033341814686,True
Basketball,Upper limb,2019,3800,116900.0,0.10079049055439779,True
Basketball,Trunk/spine,2019,909,28700.0,0.09175730560297499,True
Basketball,Lower limb,2019,5394,173000.0,0.09402730583453507,True
Basketball,Other/systemic,2019,103,3400.0,0.20371915299105614,True
Exercise/fitness,Head/neck,2019,1200,48100.0,0.12737787952009946,True
Exercise/fitness,Upper limb,2019,1374,53000.0,0.09943276488615274,True
Exercise/fitness,Trunk/spine,2019,2543,106800.0,0.14913797743479368,True
Exercise/fitness,Lower limb,2019,3122,132900.0,0.09559728725301395,True
Exercise/fitness,Other/systemic,2019,558,24900.0,0.2037664362450587,True
Football,Head/neck,2019,2214,64700.0,0.1088745605147507,True
Football,Upper limb,2019,3737,117300.0,0.1259836060335927,True
Football,Trunk/spine,2019,796,26200.0,0.12462198201172184,True
Football,Lower limb,2019,2559,78200.0,0.11293512795135444,True
