Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Soccer,65-69,73,,124.86018285647624,0.4072173938140495,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.061431961891173066,0.3922489502357099,10
Soccer,70-74,40,,80.106263619922,0.5194147271021149,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.041696279061148304,0.5293100446176396,10
Soccer,75-79,35,,92.81623239876483,0.561349264550993,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.0476061478903312,0.5636860864498713,10
Soccer,80+,20,,76.0064225097742,0.6853445987531407,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.03984003326626472,0.7033045816089635,10
Swimming/diving,0-4,6152,,7170.41725186519,0.3766952494776196,,False,"CV bound outside [0, 0.33]",,2.141857731779493,0.1932661312123803,10
Swimming/diving,5-9,11655,38200.0,11502.135855391396,0.30120167325769676,38200.0,True,passes conservative screen,22.2,2.5308149957042874,0.11383051586956781,10
Swimming/diving,10-14,9839,33000.0,7653.359154613952,0.2321488707769902,33000.0,True,passes conservative screen,19.2,1.2632635238484542,0.06581545002090707,10
Swimming/diving,15-19,4331,16900.0,2892.492783217519,0.17144346657337076,16900.0,True,passes conservative screen,9.8,0.8305435244806586,0.08455328198093234,10
Swimming/diving,20-24,2004,9700.0,1522.979531316141,0.1575912565354082,9700.0,True,passes conservative screen,5.6,0.9894856037938712,0.17585995166303567,10
Swimming/diving,25-29,1545,7500.0,1152.0740608067124,0.1529504909324394,7500.0,True,passes conservative screen,4.4,0.6827812614817897,0.1556938607913237,10
Swimming/diving,30-34,1436,7000.0,1222.0301861256805,0.17390243363082297,7000.0,True,passes conservative screen,4.1,0.6938990445912702,0.1696053053197932,10
Swimming/diving,35-39,1272,6500.0,1082.579842477107,0.16690614029523806,6500.0,True,passes conservative screen,3.8,0.646345263708626,0.17115767021770065,10
