Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Shoulder/upper arm,55-64,1710,8200.0,1220.9672472817992,0.14950343926420617,8200.0,True,passes conservative screen,8.1,0.7641903967978002,0.09396958344020523,10
Shoulder/upper arm,65-74,1299,6600.0,1283.4176591007679,0.19534349956497518,6600.0,True,passes conservative screen,7.2,0.8740106530552048,0.12168251315446785,10
Shoulder/upper arm,75+,743,3900.0,959.218815009924,0.24914769756456664,3900.0,True,passes conservative screen,5.9,0.7508958965572773,0.1277883943519986,10
Elbow/forearm,0-4,916,2000.0,467.8718137725631,0.2304056408730503,2000.0,True,passes conservative screen,4.6,0.7662458448576912,0.16777117105905104,10
Elbow/forearm,5-9,6729,16000.0,2740.668341649444,0.17140375499685173,16000.0,True,passes conservative screen,8.6,0.6333755512840713,0.07343422435668744,10
Elbow/forearm,10-14,16017,40500.0,5681.014500083091,0.1401646572640914,40500.0,True,passes conservative screen,7.2,0.3410577211215094,0.047253915476215574,10
Elbow/forearm,15-17,5841,17900.0,2228.750862806887,0.124166060270795,17900.0,True,passes conservative screen,4.5,0.27334520305919097,0.06035502537760782,10
Elbow/forearm,18-24,2389,10200.0,1249.5699369740146,0.12289066701055258,10200.0,True,passes conservative screen,3.2,0.26999329726856613,0.08425556791362772,10
Elbow/forearm,25-34,1828,7600.0,979.64801607307,0.1288416033315256,7600.0,True,passes conservative screen,3.1,0.2707883612068704,0.08765658155090227,10
Elbow/forearm,35-44,1241,5700.0,723.9253214262828,0.12763926924895336,5700.0,True,passes conservative screen,3.4,0.3575864338484501,0.10381801510812916,10
Elbow/forearm,45-54,853,3900.0,606.8443137140146,0.1571184318116794,3900.0,True,passes conservative screen,3.3,0.43034170600319016,0.13110139287994,10
Elbow/forearm,55-64,766,3700.0,768.0460881591378,0.20669633943591362,3700.0,True,passes conservative screen,3.7,0.5475641995241735,0.1479854801263334,10
Elbow/forearm,65-74,688,3700.0,988.9489490898919,0.26471852321696787,3700.0,True,passes conservative screen,4.1,0.5489562200321728,0.13440909589688543,10
Elbow/forearm,75+,421,2200.0,629.3808293153259,0.2836651961833429,2200.0,True,passes conservative screen,3.4,0.6902324649402476,0.20382639300308916,10
Wrist/hand,0-4,1466,3900.0,664.9347124862028,0.1690998400886289,3900.0,True,passes conservative screen,8.8,1.5276986702457787,0.17273680024590743,10
Wrist/hand,5-9,10664,30900.0,4708.288587823704,0.15245566679453568,30900.0,True,passes conservative screen,16.7,0.9801807431867532,0.058838288489042684,10
Wrist/hand,10-14,42074,129100.0,15550.567196841084,0.12043252994277387,129100.0,True,passes conservative screen,23.0,0.6959086779839017,0.03026544893368321,10
Wrist/hand,15-17,18742,62400.0,6828.783673127456,0.1094304505376366,62400.0,True,passes conservative screen,15.7,0.5997074868845924,0.038088590878993245,10
