Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Fracture,25-34,7542,30700.0,3120.8224442888823,0.10177234259778942,30700.0,True,passes conservative screen,12.2,0.701724907927991,0.057310154961347705,10
Fracture,35-44,4664,20600.0,2250.000266888381,0.10948184232952943,20600.0,True,passes conservative screen,12.2,0.8289523864325677,0.06792044549980371,10
Fracture,45-54,3171,14200.0,1776.5632985010866,0.12477803030418409,14200.0,True,passes conservative screen,11.8,1.0439534897690308,0.0884625930181711,10
Fracture,55-64,3175,15200.0,2438.042582353613,0.16004155714015736,15200.0,True,passes conservative screen,14.8,1.2135444699568747,0.08222707866430932,10
Fracture,65-74,2830,14400.0,2934.9769036232387,0.20386379850817946,14400.0,True,passes conservative screen,15.3,1.4238449709245637,0.09322506139771676,10
Fracture,75+,2093,10700.0,2365.079285231628,0.22072107748774547,10700.0,True,passes conservative screen,15.8,1.7187254011355433,0.10905043264104074,10
Contusion/abrasion,0-4,1844,5100.0,1073.773184956111,0.20922819639487403,5100.0,True,passes conservative screen,10.9,1.3290268023162501,0.12144464538822251,10
Contusion/abrasion,5-9,7672,22600.0,4084.812312397132,0.18040151043063862,22600.0,True,passes conservative screen,11.9,0.7930931949586231,0.0666746393877706,10
Contusion/abrasion,10-14,20608,66100.0,8781.800779366244,0.13289183238902144,66100.0,True,passes conservative screen,11.6,0.6394840447116942,0.05521597244530403,10
Contusion/abrasion,15-17,11728,41800.0,5174.930346169286,0.12392688992248353,41800.0,True,passes conservative screen,10.4,0.6371619028170414,0.061086914681265106,10
Contusion/abrasion,18-24,5822,25600.0,2669.7839757834404,0.10425581951003297,25600.0,True,passes conservative screen,8.0,0.5233913126905837,0.06572271905433731,10
Contusion/abrasion,25-34,4273,19500.0,1959.9681059636364,0.10037914264509941,19500.0,True,passes conservative screen,7.8,0.5443950547359537,0.06982527087351564,10
Contusion/abrasion,35-44,2574,12200.0,1398.0179961770743,0.11481162421992587,12200.0,True,passes conservative screen,7.2,0.6041829588932526,0.08355125601859617,10
Contusion/abrasion,45-54,1780,8500.0,1064.2508196375732,0.1256504573696235,8500.0,True,passes conservative screen,7.0,0.6902704486202667,0.09832420339993557,10
Contusion/abrasion,55-64,1380,6800.0,1078.1266423749366,0.15832379350561226,6800.0,True,passes conservative screen,6.6,0.8054013863672098,0.12208335778699511,10
Contusion/abrasion,65-74,1115,5800.0,1126.1840650099998,0.19574384105067902,5800.0,True,passes conservative screen,6.1,0.7936091303432671,0.1300229251640372,10
Contusion/abrasion,75+,986,5300.0,1352.2885365001002,0.2539500776487818,5300.0,True,passes conservative screen,7.8,1.1272572542190809,0.14392121490721818,10
Laceration/open wound,0-4,3251,10000.0,2164.114589240425,0.21603194286412847,10000.0,True,passes conservative screen,21.4,1.6707589984790907,0.07821472129568703,10
Laceration/open wound,5-9,8529,25000.0,4182.957828316716,0.1670341792411884,25000.0,True,passes conservative screen,13.2,0.8127616767286316,0.061780791507169516,10
Laceration/open wound,10-14,9078,28400.0,3550.902469731192,0.12504907698254103,28400.0,True,passes conservative screen,5.0,0.27354123333499125,0.05496482506373632,10
Laceration/open wound,15-17,6829,24000.0,2922.336257791197,0.12181293330232815,24000.0,True,passes conservative screen,6.0,0.33215460350387654,0.05542948440125768,10
Laceration/open wound,18-24,6198,27500.0,3446.7968653156468,0.1254159767817064,27500.0,True,passes conservative screen,8.5,0.49547093728388875,0.05797225438301271,10
Laceration/open wound,25-34,3948,17200.0,1952.8878392603024,0.11380381389813278,17200.0,True,passes conservative screen,6.9,0.46861090326520427,0.068390516700225,10
