Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
58,2018,116,5500.0,0.14513777437212536,True
59,2018,129,5600.0,0.15217360426288273,True
60,2018,114,5100.0,0.1810361735975203,True
61,2018,123,5300.0,0.16090576552509067,True
62,2018,123,6300.0,0.14709249757489387,True
63,2018,100,5200.0,0.2573470548672266,True
64,2018,103,5100.0,0.19968970483888857,True
65,2018,119,6300.0,0.2050482458758277,True
66,2018,114,6100.0,0.18361926588245173,True
67,2018,119,6200.0,0.2156572315032327,True
68,2018,112,6400.0,0.27570227007050463,True
69,2018,105,5500.0,0.25342366375635145,True
70,2018,89,,0.3866973934549959,False
71,2018,95,5100.0,0.237307273361059,True
72,2018,76,4200.0,0.3153388922767087,True
73,2018,83,,0.34854340044233034,False
74,2018,73,4400.0,0.3227747806085844,True
75,2018,83,5000.0,0.31945354958498057,True
76,2018,78,,0.33889612763572174,False
77,2018,52,,0.4065712061508236,False
78,2018,47,2600.0,0.2874014099427705,True
79,2018,49,3100.0,0.3281472784236485,True
80,2018,45,2500.0,0.3164446435477146,True
81,2018,44,2500.0,0.29802286735002137,True
82,2018,36,,0.34269663336560496,False
83,2018,40,,0.4755138051837678,False
84,2018,32,,0.33994845772834126,False
85,2018,28,1400.0,0.2853376575423943,True
86,2018,22,1200.0,0.3224587136690644,True
87,2018,22,1300.0,0.30208879968766456,True
88,2018,20,,0.3442091005827383,False
89,2018,14,,0.33453889949620036,False
90,2018,42,,0.3777555315072402,False
0,2019,33,,0.3648687243414386,False
1,2019,138,,0.3544336086679068,False
2,2019,229,5800.0,0.2731047370522564,True
3,2019,282,8100.0,0.28039350711625993,True
4,2019,339,8600.0,0.22612216677647037,True
5,2019,470,14000.0,0.20145678399712824,True
6,2019,674,16900.0,0.20282425245295757,True
7,2019,873,24600.0,0.20400476053422,True
8,2019,1170,30300.0,0.16901654106128508,True
9,2019,1445,38700.0,0.1620141001152666,True
10,2019,1945,55300.0,0.14188957332700738,True
11,2019,2410,65500.0,0.14932887533118394,True
12,2019,3001,84700.0,0.1472154418149812,True
13,2019,3366,95700.0,0.14072861929463867,True
14,2019,3630,104700.0,0.12764209777517552,True
15,2019,3340,102800.0,0.1265898979695917,True
16,2019,2949,97000.0,0.13072841092495135,True
17,2019,2720,91300.0,0.12665459903291962,True
18,2019,1479,54700.0,0.10185487354264681,True
19,2019,956,37900.0,0.10182680002465067,True
20,2019,850,34100.0,0.09159867877739915,True
21,2019,752,31300.0,0.09145023994798834,True
22,2019,632,26300.0,0.09998883349023324,True
23,2019,608,25000.0,0.08854623703181597,True
24,2019,611,24700.0,0.09092058129207724,True
25,2019,531,22000.0,0.09940941131700684,True
26,2019,493,20400.0,0.0917730827758671,True
27,2019,507,20000.0,0.10630124349330505,True
28,2019,458,18900.0,0.09014430286058374,True
29,2019,439,17500.0,0.10593505483216516,True
30,2019,419,17300.0,0.09796394561951904,True
