Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Wrist/hand,65-74,1877,10200.0,1736.10390129603,0.1697849323707265,10200.0,True,passes conservative screen,10.8,1.429888411691727,0.13181357164077684,10
Wrist/hand,75+,898,4900.0,997.5926963889527,0.20210671749785464,4900.0,True,passes conservative screen,7.3,1.048999046253679,0.14448586928073592,10
Trunk/spine,0-4,496,1300.0,383.9490559794302,0.2950098925019805,1300.0,True,passes conservative screen,2.8,0.6554261124484592,0.2361694344979532,10
Trunk/spine,5-9,3929,10700.0,1866.8292027904722,0.17493857377440197,10700.0,True,passes conservative screen,5.6,0.45338827800050113,0.08087600161846246,10
Trunk/spine,10-14,15127,43700.0,6064.353449014365,0.13876485422167112,43700.0,True,passes conservative screen,7.7,0.36233259734560774,0.04730670378237021,10
Trunk/spine,15-17,11829,38500.0,4813.729409865931,0.12508357180321356,38500.0,True,passes conservative screen,9.6,0.43330157352234794,0.04507608761991706,10
Trunk/spine,18-24,9802,40900.0,4826.789673283523,0.11789211826039857,40900.0,True,passes conservative screen,12.7,0.6699584851617755,0.052618579113082486,10
Trunk/spine,25-34,11232,47400.0,5197.0495479324745,0.10975732485218746,47400.0,True,passes conservative screen,18.9,0.8043120726504248,0.04254075794361241,10
Trunk/spine,35-44,8352,36400.0,3979.0652389055854,0.10935647912356544,36400.0,True,passes conservative screen,21.6,1.0276085673093376,0.04755570103199909,10
Trunk/spine,45-54,6786,30400.0,3785.9769036520474,0.12473022044931398,30400.0,True,passes conservative screen,25.2,1.325486991483686,0.052685399140790116,10
Trunk/spine,55-64,6280,29200.0,4953.461258782313,0.16976783188437905,29200.0,True,passes conservative screen,28.3,1.6514321330171449,0.058421815143516284,10
Trunk/spine,65-74,5574,28200.0,7371.289264887862,0.2616794035572127,28200.0,True,passes conservative screen,29.9,2.1545913199759235,0.07209838578829442,10
Trunk/spine,75+,4256,21900.0,6085.656049881683,0.27805892525099407,21900.0,True,passes conservative screen,32.2,1.8265077927643032,0.05673796567844732,10
Hip/thigh,0-4,435,,386.425686814071,0.3676322840156403,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.5075185251328729,0.22643133587634162,10
Hip/thigh,5-9,1556,3800.0,792.7421337161658,0.20701206521796994,3800.0,True,passes conservative screen,2.0,0.24665138660930636,0.12260711323742846,10
Hip/thigh,10-14,3265,8400.0,1346.2148943519944,0.16058480583513665,8400.0,True,passes conservative screen,1.5,0.13923473883688475,0.09476718211797742,10
Hip/thigh,15-17,2240,6600.0,922.9225443066362,0.14025058569056273,6600.0,True,passes conservative screen,1.6,0.16435484282738075,0.09999062485395446,10
Hip/thigh,18-24,1530,6300.0,902.2304761692288,0.14272011554649588,6300.0,True,passes conservative screen,2.0,0.2014533209743961,0.10247241116413744,10
Hip/thigh,25-34,1231,5100.0,756.7786975981292,0.14830415027327873,5100.0,True,passes conservative screen,2.0,0.2428534120917392,0.11918801744336588,10
Hip/thigh,35-44,785,3500.0,603.1748191674253,0.17262129908285678,3500.0,True,passes conservative screen,2.1,0.2887666324515123,0.1391584550398324,10
